province,name,zip_code,area_code
"内蒙古自治区","科尔沁右翼前旗",137700,0482
"内蒙古自治区","科尔沁左翼中旗",029300,0475
"内蒙古自治区","科尔沁左翼后旗",028100,0475
"内蒙古自治区","突泉县",137500,0482
"内蒙古自治区","红山区",024000,0476
"内蒙古自治区","翁牛特旗",024500,0476
"内蒙古自治区","苏尼特右旗",011200,0479
"内蒙古自治区","苏尼特左旗",011300,0479
"内蒙古自治区","莫力达瓦达斡尔族自治旗",162800,0470
"内蒙古自治区","西乌珠穆沁旗",026200,0479
"内蒙古自治区","赛罕区",010000,0471
"内蒙古自治区","达尔罕茂明安联合旗",014500,0472
"内蒙古自治区","达拉特旗",014300,0477
"内蒙古自治区","鄂伦春自治旗",165400,0470
"内蒙古自治区","鄂托克前旗",016200,0477
"内蒙古自治区","鄂托克旗",016100,0477
"内蒙古自治区","鄂温克族自治旗",021100,0470
"内蒙古自治区","锡林浩特市",026000,0479
"内蒙古自治区","镶黄旗",013200,0479
"内蒙古自治区","阿尔山市",137800,0482
"内蒙古自治区","阿巴嘎旗",011400,0479
"内蒙古自治区","阿拉善右旗",737300,0483
"内蒙古自治区","阿拉善左旗",750300,0483
"内蒙古自治区","阿荣旗",162700,0470
"内蒙古自治区","阿鲁科尔沁旗",025500,0476
"内蒙古自治区","陈巴尔虎旗",021500,0470
"内蒙古自治区","集宁区",012000,0474
"内蒙古自治区","霍林郭勒市",029200,0475
"内蒙古自治区","青山区",014000,0472
"内蒙古自治区","额尔古纳市",022200,0470
"内蒙古自治区","额济纳旗",735400,0483
"北京市","东城区",100000,010
"北京市","丰台区",100000,010
"北京市","大兴区",102600,010
"北京市","密云区",101500,010
"北京市","平谷区",101200,010
"北京市","延庆区",102100,010
"北京市","怀柔区",101400,010
"北京市","房山区",102400,010
"北京市","昌平区",102200,010
"北京市","朝阳区",100000,010
"北京市","海淀区",100000,010
"北京市","石景山区",100000,010
"北京市","西城区",100000,010
"北京市","通州区",101100,010
"北京市","门头沟区",102300,010
"北京市","顺义区",101300,010
"吉林省","东丰县",136300,0437
"吉林省","东昌区",134000,0435
"吉林省","东辽县",136600,0437
"吉林省","丰满区",132000,0432
"吉林省","临江市",134600,0439
"吉林省","九台区",130500,0431
"吉林省","乾安县",131400,0438
"吉林省","二道区",130000,0431
"吉林省","二道江区",134000,0435
"吉林省","伊通满族自治县",130700,0434
"吉林省","公主岭市",136100,0431
"吉林省","农安县",130200,0431
"吉林省","前郭尔罗斯蒙古族自治县",131100,0438
"吉林省","南关区",130000,0431
"吉林省","双辽市",136400,0434
"吉林省","双阳区",130600,0431
"吉林省","和龙市",133500,0433
"吉林省","图们市",133100,0433
"吉林省","大安市",131300,0436
"吉林省","宁江区",138000,0438
"吉林省","安图县",133600,0433
"吉林省","宽城区",130000,0431
"吉林省","延吉市",133000,0433
"吉林省","德惠市",130300,0431
"吉林省","扶余市",131200,0438
"吉林省","抚松县",134500,0439
"吉林省","敦化市",133700,0433
"吉林省","昌邑区",132000,0432
"吉林省","朝阳区",130000,0431
"吉林省","柳河县",135300,0435
"吉林省","桦甸市",132400,0432
"吉林省","梅河口市",135000,0435
"吉林省","梨树县",136500,0434
"吉林省","榆树市",130400,0431
